,Marca temporal,"¿Cómo evalúa su productividad, tomando en cuenta la cantidad de tangramas resueltos?","Si usted hubiera recibido una señal para tomar la pausa, esta la hubiera sentido útil. ","Tener un recordatorio que indicara el tiempo restante, me hubiera distraído pararesolver los tangramas","Tener un recordatorio del tiempo restante, me hubiera ayudado a manejar mejor el tiempo. "
No stimulus,6/6/2022 13:52:06,1,5,1,3
No stimulus,6/6/2022 13:52:46,1,3,5,4
No stimulus,6/6/2022 13:53:47,1,5,4,5
No stimulus,20/6/2022 10:42:55,4,5,4,4
No stimulus,20/6/2022 10:43:04,3,5,5,3
No stimulus,20/6/2022 10:43:10,3,3,1,3
No stimulus,20/6/2022 10:43:31,3,2,3,4
No stimulus,20/6/2022 10:43:44,4,2,1,4
No stimulus,20/6/2022 10:43:48,4,1,4,3
No stimulus,21/6/2022 7:43:15,4,2,1,5
No stimulus,21/6/2022 7:44:14,5,5,2,5
No stimulus,21/6/2022 7:44:55,3,4,4,2
No stimulus,21/6/2022 7:45:09,3,4,3,5
No stimulus,21/6/2022 7:45:43,3,3,3,5
No stimulus,21/6/2022 7:45:48,4,4,5,3
No stimulus,21/6/2022 7:46:03,3,4,2,5
No stimulus,21/6/2022 7:47:03,4,3,1,5
No stimulus,22/6/2022 17:40:33,3,2,2,5
No stimulus,22/6/2022 17:41:07,3,2,2,4
No stimulus,22/6/2022 17:41:11,2,1,1,5
No stimulus,22/6/2022 17:41:22,4,1,1,4
No stimulus,22/6/2022 17:41:57,3,3,4,1
